insurer,file,bytes,pages,has_extractable_text,sample
aditya-birla,policy-wording/aditya-birla/Activ_Assured_Diamond.pdf,608888,37,True,"This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_Care_Classic.pdf,622662,43,True,"This Policy has been issued on the basis of the Disclosure to information norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_Care_Premier.pdf,622662,43,True,"This Policy has been issued on the basis of the Disclosure to information norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_Care_Standard.pdf,622662,43,True,"This Policy has been issued on the basis of the Disclosure to information norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_Fit_Plus.pdf,817040,33,True,"This Policy has been issued on the basis of the Disclosure to information norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_Fit_Preferred.pdf,817040,33,True,"This Policy has been issued on the basis of the Disclosure to information norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_Health_Platinum_Enhanced.pdf,1190560,89,True,"Activ Health - Policy Terms and Conditions Section A. PREAMBLE This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full "
aditya-birla,policy-wording/aditya-birla/Activ_Health_Platinum_Essential.pdf,1190560,89,True,"Activ Health - Policy Terms and Conditions Section A. PREAMBLE This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured Persons in the Proposal Form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the Proposal Form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full "
aditya-birla,policy-wording/aditya-birla/Activ_Health_Plus_TopUp.pdf,540322,30,True,"This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured Persons in the proposal form, any application for insurance cover in respect of any Insured Person and any other information or details submitted in relation to the proposal form. This Policy is a contract of insurance between You and Us which is subject to the receipt of premium in full and accepted by Us in respect of the Insured Persons and the te"
aditya-birla,policy-wording/aditya-birla/Activ_One_MAX.pdf,541300,55,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
