"Insurer","Policy","Room Rent","Proportionate Ded.","PED Waiting","Specific Illness Wait","Initial Waiting","Pre-Hosp","Post-Hosp","Co-pay","Restore Benefit","NCB / Renewal Bonus","Built-in SI Buffer","Air Ambulance","Domiciliary","Modern Treatments","Consumables","RULE VIOLATIONS"
"aditya-birla","Activ_Assured_Diamond","B","B","U","good","good","good","good","B","good","★GREAT","","","good","","B",""
"aditya-birla","Activ_Care_Classic","B","B","good","good","good","U","U","","good","★GREAT","★GREAT","","","","B",""
"aditya-birla","Activ_Care_Premier","B","B","good","good","good","U","U","B","good","good","★GREAT","good","good","","B",""
"aditya-birla","Activ_Care_Standard","B","B","good","good","good","U","U","B","good","★GREAT","","good","good","","B",""
"aditya-birla","Activ_Fit_Plus","U","U","U","good","good","U","U","","★GREAT","★GREAT","","","good","good","B",""
"aditya-birla","Activ_Fit_Preferred","B","B","U","good","good","U","U","","★GREAT","★GREAT","★GREAT","","good","","",""
"aditya-birla","Activ_Health_Platinum_Enhanced","B","B","U","good","good","U","U","B","good","U","★GREAT","","","","U",""
"aditya-birla","Activ_Health_Platinum_Essential","B","B","U","good","good","U","U","B","","good","★GREAT","good","good","","B",""
"aditya-birla","Activ_Health_Plus_TopUp","B","B","good","good","good","U","U","★GREAT","U","U","U","good","good","","B",""
"aditya-birla","Activ_One_MAX","★GREAT","","","good","good","★GREAT","good","B","★GREAT","","★GREAT","","★GREAT","","★GREAT",""
"aditya-birla","Activ_One_MAX_Plus","★GREAT","","","good","good","★GREAT","good","B","","★GREAT","★GREAT","","★GREAT","★GREAT","★GREAT",""
"aditya-birla","Activ_One_NXT","★GREAT","","good","good","good","★GREAT","good","B","★GREAT","★GREAT","","","good","★GREAT","B",""
"aditya-birla","Activ_One_SAVR","★GREAT","","good","good","good","★GREAT","good","B","★GREAT","U","★GREAT","","★GREAT","★GREAT","★GREAT",""
"aditya-birla","Activ_One_VIP","★GREAT","","good","","good","★GREAT","good","★GREAT","★GREAT","B","★GREAT","","","","★GREAT",""
"aditya-birla","Activ_One_VIP_Plus","★GREAT","","good","good","good","★GREAT","good","B","★GREAT","","★GREAT","","","","U",""
"aditya-birla","Activ_One_VYTL","★GREAT","","good","good","good","★GREAT","good","B","★GREAT","","★GREAT","","good","B","★GREAT",""
"care","Care_Advantage","★GREAT","","good","good","good","good","good","B","★GREAT","U","good","","","good","B",""
"care","Care_Care","good","","good","good","good","B","B","good","★GREAT","B","","","good","★GREAT","B",""
"care","Care_Classic","B","B","good","good","good","good","good","B","★GREAT","★GREAT","","","","","B",""
"care","Care_Enhance_Top_Up","good","","good","★GREAT","good","good","","B","B","U","","","","★GREAT","B",""
"care","Care_Freedom","B","B","good","good","good","U","U","B","good","","","","","B","good",""
"care","Care_Heart","B","B","good","good","good","good","good","B","good","★GREAT","","","good","","B",""
"care","Care_Joy_Today","good","good","good","good","good","good","good","B","B","","","","","B","B",""
"care","Care_Joy_Tomorrow","good","good","good","good","good","good","good","B","B","B","","","","good","B",""
"care","Care_Plus_Complete","U","","good","good","good","good","good","B","★GREAT","good","good","","","","B",""
"care","Care_Plus_Youth","B","B","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","","B","","B",""
"care","Care_Senior","B","","good","good","good","good","good","B","good","B","U","","","","B",""
"care","Care_Senior_Health_Advantage","B","B","★GREAT","good","good","good","good","B","★GREAT","★GREAT","","","good","good","B",""
"care","Care_Supreme","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","good","★GREAT","","B",""
"care","Care_Supreme_Enhance_Super_TopUp","good","","good","good","good","good","good","★GREAT","★GREAT","★GREAT","★GREAT","","","","B",""
"care","Care_Supreme_Senior_Premium","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","","","good","★GREAT","B",""
"care","Care_Supreme_Senior_Super","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","good","good","good","","B",""
"care","Care_Supreme_Super_Saver","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","","★GREAT","★GREAT","B",""
"care","Care_Supreme_VFM","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","","","","★GREAT","B",""
"care","Care_Ultimate","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","","B","","B",""
"hdfc-ergo","Easy_Health_Exclusive","U","U","good","good","good","good","good","★GREAT","B","★GREAT","","","","","B",""
"hdfc-ergo","Easy_Health_Premium","U","U","good","good","good","good","good","★GREAT","B","★GREAT","U","good","","U","B",""
"hdfc-ergo","Easy_Health_Standard","U","U","good","good","good","good","good","★GREAT","B","★GREAT","U","","","","B",""
"hdfc-ergo","Energy_Gold","U","","good","good","U","good","good","B","★GREAT","★GREAT","","","","","B",""
"hdfc-ergo","Energy_Silver","U","","good","good","","good","","B","good","★GREAT","","","","","B",""
"hdfc-ergo","Equicover","B","","good","good","good","good","good","B","B","U","","","","B","B",""
"hdfc-ergo","Health_Wallet","U","","good","good","good","","","★GREAT","good","★GREAT","good","","","","B",""
"hdfc-ergo","MyHealth_Koti_Suraksha","B","B","good","good","good","good","good","B","B","★GREAT","","","","","B",""
"hdfc-ergo","MyHealth_Medisure_Super_TopUp","U","U","good","good","good","good","B","B","B","","","","B","","B",""
"hdfc-ergo","MyHealth_Suraksha_Gold","U","","good","good","good","good","good","B","","U","","","","","",""
"hdfc-ergo","MyHealth_Suraksha_Platinum","U","","good","good","good","★GREAT","★GREAT","B","B","★GREAT","good","","","","B",""
"hdfc-ergo","MyHealth_Suraksha_Silver","U","","good","good","good","good","good","★GREAT","★GREAT","good","","good","","","",""
"hdfc-ergo","Optima_Lite","★GREAT","","good","good","good","good","good","","★GREAT","★GREAT","★GREAT","good","good","","B",""
"hdfc-ergo","Optima_Restore","U","","good","good","good","good","good","B","★GREAT","★GREAT","","good","","","B",""
"hdfc-ergo","Optima_Secure","★GREAT","","good","good","good","good","good","★GREAT","★GREAT","★GREAT","★GREAT","good","","","B",""
"hdfc-ergo","Optima_Secure_Global","★GREAT","","good","good","good","good","good","★GREAT","★GREAT","★GREAT","★GREAT","good","","","good",""
"hdfc-ergo","Optima_Secure_Global_Plus","★GREAT","","good","good","good","★GREAT","★GREAT","B","★GREAT","U","★GREAT","good","good","","B",""
"hdfc-ergo","Optima_Senior","U","","good","good","good","good","good","B","B","B","","","good","","B",""
"hdfc-ergo","Optima_Super_Secure","★GREAT","","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","★GREAT","good","","B",""
"icici-lombard","Elevate","good","B","good","good","good","★GREAT","good","B","★GREAT","★GREAT","","good","good","good","B",""
"icici-lombard","Golden_Shield","B","B","good","good","good","good","good","B","good","★GREAT","★GREAT","good","B","","B",""
"icici-lombard","Health_AdvantEdge","★GREAT","B","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","good","good","★GREAT","B",""
"icici-lombard","Health_Booster_Super_TopUp","B","B","good","good","good","good","good","B","","★GREAT","","","B","","B",""
"icici-lombard","Health_Elite_Plus","good","","good","good","good","good","good","B","★GREAT","★GREAT","U","good","","","B",""
"icici-lombard","Health_Shield_360","B","B","U","U","U","U","U","B","good","★GREAT","","good","good","","B",""
"icici-lombard","Health_Shield_360_Retail","U","U","good","good","good","U","U","B","★GREAT","★GREAT","★GREAT","good","good","good","B",""
"icici-lombard","Max_Protect_Classic","good","","good","good","good","good","good","B","★GREAT","★GREAT","good","good","good","","B",""
"icici-lombard","Max_Protect_Premium","good","","good","good","good","★GREAT","★GREAT","B","★GREAT","★GREAT","","good","good","","B",""
"icici-lombard","iHealth","","","good","good","good","good","good","★GREAT","good","good","good","","","","B",""
"icici-lombard","iHealth_Plus","U","U","good","good","good","good","good","★GREAT","good","★GREAT","★GREAT","","","","B",""
"niva-bupa","Aspire_Diamond_Plus","★GREAT","","good","good","good","good","good","B","","U","★GREAT","","good","good","B",""
"niva-bupa","Aspire_Gold_Plus","★GREAT","U","★GREAT","★GREAT","good","good","good","B","★GREAT","U","U","good","good","good","B",""
"niva-bupa","Aspire_Platinum_Plus","★GREAT","","★GREAT","★GREAT","good","good","good","B","★GREAT","B","★GREAT","good","good","good","B",""
"niva-bupa","Aspire_Titanium_Plus","★GREAT","","★GREAT","★GREAT","good","good","good","B","★GREAT","B","★GREAT","good","good","good","B",""
